Bb4nana [['17.7', '1.1'], ['7.41', '8.50']]
iCdjjz [['36.4', '0.0'], ['8.32', '0.00']]
montakf2006 [['34.2', '1.4'], ['0.00', '0.00']]
Jaxon103199 [['60.2', '0.0'], ['6.09', '0.00']]
Negreizo [['70.8', '23.5'], ['7.91', '7.50']]
Hedzki [['35.2', '0.1'], ['7.71', '10.00']]
SusuCiko [['46.2', '27.5'], ['0.00', '0.00']]
Andrarum [['35.2', '0.1'], ['7.95', '0.00']]
Nicosniaus18 [['142.4', '0.6'], ['7.46', '0.00']]
crunchcrisp [['92.8', '0.4'], ['8.71', '0.00']]
Kiraizuma [['10.6', '0.0'], ['9.17', '0.00']]
Amik-kun [['62.2', '0.0'], ['7.47', '0.00']]
Aynu5h [['215.6', '27.5'], ['5.30', '7.33']]
yato_af [['44.5', '2.4'], ['6.52', '8.38']]
Modarka [['38.7', '14.8'], ['8.01', '7.55']]
Lorenzoroy [['69.8', '1.9'], ['8.02', '0.00']]
DSaab88 [['180.7', '114.9'], ['6.79', '7.33']]
Landos [['45.5', '0.0'], ['7.54', '0.00']]
Fedeo [['13.2', '0.0'], ['8.54', '0.00']]
Supratim1000-7 [['108.0', '0.0'], ['7.90', '0.00']]
rapidwhite [['10.1', '0.0'], ['8.00', '0.00']]
Tarek0702 [['25.3', '0.0'], ['7.42', '0.00']]
_Alfred [['11.9', '5.1'], ['7.19', '8.67']]
Adriyy [['12.4', '0.0'], ['8.00', '0.00']]
epicdabber [['11.9', '0.1'], ['7.93', '10.00']]
Johnicel [['41.4', '2.2'], ['8.24', '9.00']]
White_Jade [['55.8', '0.0'], ['9.08', '0.00']]
DaviSakamoto [['88.7', '11.7'], ['7.06', '8.25']]
Bebop_cadu [['115.4', '27.2'], ['5.20', '6.37']]
UnManDeCultura [['244.8', '0.0'], ['0.00', '0.00']]
Mikey_kun [['73.1', '0.1'], ['7.66', '0.00']]
Franco147 [['77.0', '16.9'], ['5.64', '7.47']]
KamiMonkey7th [['18.8', '0.9'], ['8.85', '0.00']]
kaizz_s3npai [['136.3', '14.9'], ['7.80', '9.00']]
Hierre [['47.0', '1.8'], ['9.08', '9.17']]
myszon007 [['130.7', '6.8'], ['7.56', '7.67']]
-Ivan_ [['20.8', '0.0'], ['8.04', '0.00']]
Enkidu_234 [['31.5', '2.8'], ['6.41', '0.00']]
GUSTA764 [['98.7', '20.7'], ['6.00', '6.90']]
CaptainPlasma101 [['30.4', '0.0'], ['8.51', '0.00']]
